Mr. Chairman|| fdic, federal, loan
<|endoftext|>|| oppose, law, change
Mr. Chairman|| banking, system, financial
Mr. President|| forward, work, cases
Madam Chairman|| system, amendment, administration
<|endoftext|>|| systems, freight, president
Mr. Speaker|| drug, burgess, opioids
Mr. Speaker|| york, enforcement, speaker
Mr. Speaker|| drugs, effects, treatment
Mr. President|| tired, congress, days
Mr. Speaker|| congress, rule, time
Mr. Speaker|| previous, wednesday, adjourned
Madam President|| trial, articles, conduct
Mr. Speaker|| dollars, constituents, basketball
Mr. Speaker|| speaker, constitution, degrading
Mr. President|| grants, year, back
Mr. Speaker|| oberstar, lakes, legislation
<|endoftext|>|| smart, land, realize
<|endoftext|>|| moran, california, senator
<|endoftext|>|| national, industry, energy
<|endoftext|>|| senators, favor, vote
<|endoftext|>|| lands, security, borders
Mr. Speaker|| committee, president, california
Mr. President|| leaders, controlled, jobs
Madam Speaker|| house, oversight, law
Mr. President|| view, overload, president
Mr. President|| years, west, leader
Mr. President|| tax, taxes, republicans
<|endoftext|>|| agency, nomination, environment
<|endoftext|>|| country, agency, opportunity
Mr. Speaker|| school, tournament, mishawaka
<|endoftext|>|| revenue, repayment, debt
Mr. Speaker|| american, wages, employees
<|endoftext|>|| situation, close, gentleman
Mr. President|| carolina, order, process
<|endoftext|>|| discarded, ivf, number
Mr. Speaker|| travel, house, legislation
<|endoftext|>|| discovery, energy, close
Mr. President|| agreed, senator, remainder
<|endoftext|>|| reasoning, companies, plaintiffs
Mr. Chairman|| amendment, fact, pay
Mr. President|| february, transportation, committee
<|endoftext|>|| enjoyed, points, number
<|endoftext|>|| burkett, son, role
Mr. President|| work, amendments, bill
Mr. President|| senate, president, halls
<|endoftext|>|| congress, mccain, supreme
<|endoftext|>|| budget, medicare, wrong
<|endoftext|>|| passage, vote, word
Mr. Speaker|| addressing, nation, bill
Mr. President|| report, opportunity, united
Mr. President|| form, hour, bill
Mr. Chair|| chair, administration, money
<|endoftext|>|| america, nevada, people
<|endoftext|>|| send, support, process
<|endoftext|>|| votes, meet, hour
Madam Speaker|| statement, mrs., record
Mr. President|| senator, embargo, taxpayer
Mr. Speaker|| dellums, speaker, today
Mr. President|| years, iraq, president
Mr. President|| congress, political, nominee
<|endoftext|>|| medicare, modernization, gentleman
Mr. Chairman|| order, addition, legislation
Mr. President|| consent, business, friday
Mr. Speaker|| slyke, town, james
Mr. President|| senator, president, state
Madam President|| administration, democrats, promotion
Mr. Speaker|| distressed, activist, gentlewoman
Mr. President|| ranking, 5:30, sandy
Madam President|| benefits, amendment, hungary
Mr. Speaker|| repayment, paying, american
Mr. President|| amendments, desk, noon
Mr. Chairman|| ceos, federal, amendment
Mr. President|| united, attorneys, white
Mr. Speaker|| transition, leaders, revolution
Madam President|| status, path, american
<|endoftext|>|| troughs, riverside, hundreds
Madam Speaker|| system, country, speaker
Mr. Chairman|| institution, free, chairman
Mr. Chairman|| overvalued, york, chairman
Madam Speaker|| temporary, billion, congress
<|endoftext|>|| revenue, code, united
Mr. Chairman|| reasons, rates, family
Mr. Speaker|| democrats, record, budget
Mr. Chairman|| gentleman, chairman, kansas
Mr. President|| thursday, doi, bia
Mr. President|| foreign, capitol, work
Mr. Speaker|| kidnapped, young, communities
Mr. President|| technical, clarify, offer
Madam Speaker|| americans, speaker, uncertain
<|endoftext|>|| process, opportunities, increasing
Mr. President|| singapore, nations, security
<|endoftext|>|| support, night, freedom
<|endoftext|>|| disagree, billion, education
Mr. Speaker|| monday, objection, tempore
Mr. Speaker|| senate, survivors, bill
Mr. President|| amendment, one-time, things
Mr. President|| concurrent, friend, senate
Mr. President|| judges, judge, administrative
Mr. President|| maryland, leader, appropriations
Mr. President|| president, clintons, released
Mr. President|| embarking, conference, bomber
<|endoftext|>|| scenario, bankers, past
Mr. Speaker|| floor, crucial, important
<|endoftext|>|| office, answer, serve
<|endoftext|>|| freddie, revenue, body
<|endoftext|>|| chair, billion, supports
Mr. President|| funding, administration, zika
<|endoftext|>|| senate, identify, seek
<|endoftext|>|| bureau, fish, senators
Mr. Speaker|| topic, members, revise
Mr. Speaker|| make, proceedings, ground
Mr. Chairman|| page, gallon, national
Madam Speaker|| president, end, american
<|endoftext|>|| alternative, district, created
<|endoftext|>|| point, chair, order
Mr. Speaker|| speaker, price, conservation
Mr. Chair|| speak, north, management
<|endoftext|>|| memoranda, morning, democratic
Mr. President|| adjournment, bumpers, senate
Mr. Speaker|| yield, open, infrastructure
Mr. President|| senators, committee, nominations
Mr. President|| plan, ago, president
Mr. President|| budget, senate, easter
Mr. Chairman|| states, ban, waste
Mr. President|| aviation, repair, rules
<|endoftext|>|| olam, life, states
Mr. Speaker|| kind, raising, wisconsin
<|endoftext|>|| start, pipeline, skunks
Mr. President|| hour, minutes, part
Mr. Speaker|| intelligence, rollcall, missed
Mr. Speaker|| objection, extend, nevada
<|endoftext|>|| time, people, received
Madam Speaker|| body, americans, coverage
Mr. Speaker|| speaker, revise, tempore
Mr. President|| years, medicare, state
Mr. President|| associate, department, important
Mr. Chairman|| san, dear, colleagues
Mr. President|| stand, president, republican
Mr. President|| promise, point, attention
Mr. President|| subcommittee, efficiency, oversight
Mr. Speaker|| put, searched, angeles
<|endoftext|>|| deficit, year, spending
Mr. Speaker|| foreign, fight, nation
Mr. Speaker|| weeks, million, speaker
Mr. President|| members, international, president
<|endoftext|>|| administration, debate, bush
Madam Speaker|| families, taxpayer, speaker
Mr. President|| 4:30, members, president
<|endoftext|>|| desk, remain, agreement
Mr. Speaker|| xavier, expanded, floor
Mr. Speaker|| pro, members, speaker
Mr. Speaker|| abused, placement, alabama
Mr. Chairman|| killed, hundreds, women
Mr. Speaker|| today, national, service
Mr. Speaker|| american, debate, chaos
Mr. Speaker|| custody, parents, affairs
<|endoftext|>|| natural, make, coast
Mr. President|| sacrifice, ultimate, january
Mr. Speaker|| ounce, parents, yesterday
Mr. Speaker|| schiff, minute, life
Mr. President|| position, wage, president
<|endoftext|>|| disturbing, picking, freedom
<|endoftext|>|| weekend, things, budgets
Mr. President|| address, president, patient
Mr. Chair|| jobs, chair, act
Mr. Speaker|| speaker, years, people
<|endoftext|>|| sam, law, court
Mr. Chairman|| chair, michigan, remaining
Madam Speaker|| forum, renewable, 4:30
<|endoftext|>|| senator, today, indiana
Mr. Speaker|| attained, defense, honor
Mr. Speaker|| gentleman, water, dire
<|endoftext|>|| taxes, wiggle, good
Mr. Chairman|| chairman, tomorrow, offer
Mr. President|| office, energy, president
<|endoftext|>|| change, votes, critical
Madam President|| committee, pensions, funding
Mr. President|| medical, abortions, baby
Mr. Chairman|| united, region, provide
Mr. Chairman|| tuition, college, legislation
Mr. Speaker|| agency, epa, ability
Mr. President|| health, minnesota, resident
Mr. President|| building, april, russell
Mr. President|| page, people, significantly
Mr. President|| people, disabilities, president
Mr. Chairman|| program, bill, security
Mr. President|| domenici, made, vitiated
Mr. Chairman|| appropriations, run, day
Mr. President|| business, consent, ordered
<|endoftext|>|| briefly, response, quick
Mr. Speaker|| martin, santa, friend
Mr. Speaker|| fiscal, picture, nicole
Mr. President|| leahy, lot, brown
<|endoftext|>|| issues, dear, boxer
Mr. Speaker|| college, recently, native
<|endoftext|>|| advantage, completed, bipartisan
<|endoftext|>|| working, create, north
<|endoftext|>|| states, senator, peacekeeping
Madam Speaker|| protection, committee, beryllium
Mr. Speaker|| treat, act, provide
Mr. President|| months, needed, republicans
Mr. Chairman|| paid, wise, common
<|endoftext|>|| year, xavier, committed
<|endoftext|>|| health, cuts, proposing
Mr. President|| sba, termination, business
Mr. President|| important, issue, leader
Mr. President|| cloture, consent, unanimous
Mr. President|| correct, section, investment
Mr. President|| days, drug, bill
Madam Speaker|| elections, supreme, state
Mr. President|| time, battle, sister
Mr. President|| america, brett, judge
<|endoftext|>|| game, orange, tie
Mr. President|| health, care, pay
Mr. President|| president, affairs, liquidity
Mr. Speaker|| life, story, true
Mr. President|| committee, statements, record
Madam Speaker|| billion, today, presence
Mr. Speaker|| democrats, weeks, yield
Mr. Speaker|| city, man, ohio
<|endoftext|>|| contract, site, politics
<|endoftext|>|| senator, hampshire, act
Mr. Speaker|| reduction, care, states
Mr. President|| nome, state, saturday
Mr. President|| lieberman, billion, friend
Mr. Chairman|| northern, amendment, gsa
Mr. Chairman|| federal, industry, farm
Mr. President|| small, simply, law
Mr. President|| vote, senate, coleman
Mr. President|| police, springs, father
<|endoftext|>|| hope, consideration, develop
<|endoftext|>|| provide, funding, fighting
Mr. President|| plant, gao, does
<|endoftext|>|| differences, committee, offered
Mr. Chairman|| environment, health, wrong
Mr. Chairman|| republic, money, strong
Mr. President|| act, colleagues, review
Mr. Chairman|| amendment, hall, accept
<|endoftext|>|| taking, remaining, speaker
Madam Chair|| trade, tariffs, united
Mr. President|| issues, states, idaho
<|endoftext|>|| iran, arab, weapon
Mr. Speaker|| denied, reform, vote
<|endoftext|>|| yielding, speaker, smaller
Mr. Speaker|| projects, bill, puts
<|endoftext|>|| people, remarks, rules
Mr. Speaker|| budget, contraceptives, effect
Mr. President|| senate, resources, today
Madam President|| save, kyl, regular
Mr. Speaker|| frozen, bilingual, authorization
Mr. Speaker|| lewis, president, worry
Mr. President|| times, nominees, president
<|endoftext|>|| referring, years, confirmed
Mr. Chairman|| subcommittee, mccollum, hard-working
Madam Chair|| democrats, spending, repeal
Mr. Speaker|| funding, authorization, vehicle
Mr. Speaker|| pro, gentleman, california
Mr. President|| erudite, outset, entered
<|endoftext|>|| speaker, democrats, debt
Mr. President|| deal, forward, trafficking
Mr. Speaker|| department, stand, motion
Mr. Speaker|| extraneous, utilize, time
Mr. Speaker|| charter, public, families
<|endoftext|>|| year, bank, states
Mr. Chairman|| amendment, american, speaks
<|endoftext|>|| government, distinguished, oppose
Mr. Speaker|| hampshire, speaker, energy
Mr. Chairman|| community, california, acidification
<|endoftext|>|| days, pro, tempore
<|endoftext|>|| views, venues, provide
Mr. President|| speech, states, fellow
Mr. President|| senate, constitution, consent
Mr. Speaker|| leadership, republican, adding
Mr. Speaker|| speaker, agreement, trade
Madam President|| president, mcconnell, talking
Mr. President|| study, cesar, country
Mr. Speaker|| speaker, montgomery, support
Madam Speaker|| counselor, president, average
<|endoftext|>|| enbridge, brotherhood, states
Mr. President|| deportation, president, back
Mr. Speaker|| bill, question, motion
Mr. President|| support, military, president
<|endoftext|>|| easy, stand, important
<|endoftext|>|| previous, unanimous, senate
Mr. Chairman|| chairman, state, government
Madam President|| lead, health, president
<|endoftext|>|| center, wrote, statement
<|endoftext|>|| cost-effective, alternative, point
Mr. Speaker|| gentlewoman, district, today
<|endoftext|>|| republican, question, leader
Mr. President|| bill, senator, year
Mr. President|| relating, agreed, read
Mr. Speaker|| tempore, objection, legislative
Mr. Speaker|| enhance, drinking, supply
<|endoftext|>|| paycheck, eye, gentleman
Mr. Speaker|| countries, advocacy, hiv
Mr. Speaker|| year, doctor, presidency
Mr. President|| order, recognized, ordered
Mr. Speaker|| columbia, federal, committee
<|endoftext|>|| chained, reagan, deficit
Mr. Speaker|| life, promote, live
Mr. President|| leave, congratulations, duty
Mr. Chairman|| republican, cuts, balance
Madam Speaker|| pro, res, material
Mr. Speaker|| caucus, serve, republican
Mr. President|| costs, administration, cutting
Madam Speaker|| colorado, man, minutes
Mr. President|| states, president, state
Madam Chair|| working, ranking, amendment
Mr. Speaker|| faith, years, church
Mr. Speaker|| unanimous, days, request
Mr. Speaker|| strong, thomas, work
Mr. Chairman|| chairman, children, amendment
Mr. President|| matters, 3:30, returning
Mr. Speaker|| cut, issued, liberal
<|endoftext|>|| helpful, colloquy, resolution
<|endoftext|>|| bill, essentially, states
Mr. Chairman|| hand, stage, oil
<|endoftext|>|| back, ayes, previous
Madam Speaker|| house, reauthorization, act
Madam President|| consideration, turn, loopholes
Mr. Speaker|| budget, year, speaker
Mr. Speaker|| similar, washington, commerce
Mr. President|| awareness, join, appreciation
Mr. Chairman|| subsidy, wisconsin, energy
<|endoftext|>|| clear, cut, country
Mr. President|| president, families, minutes
Mr. President|| amendment, committee, move
Mr. Speaker|| question, florida, bring
Mr. President|| people, friends, guilty
Mr. President|| afternoon, unanimous, authorized
Mr. Speaker|| cures, diseases, bush
<|endoftext|>|| speaker, president, people
Mr. Chairman|| care, tax, chairman
Mr. Chairman|| bipartisan, peterson, congratulate
<|endoftext|>|| recognized, issue, missouri
<|endoftext|>|| language, immediately, turn
Mr. President|| respected, finest, sincere
Mr. President|| minute, armed, mechanism
Mr. President|| resolution, concurrent, unanimous
Mr. President|| elena, honored, number
Mr. President|| cftc, trading, view
<|endoftext|>|| senate, similar, gentleman
Mr. Speaker|| demonstration, rescissions, programs
Mr. President|| majority, moynihan, sense
Mr. Speaker|| tacoma, appropriations, project
Mr. President|| president, affairs, subcommittee
Mr. President|| services, authorized, department
Mr. Speaker|| speaker, fiscal, recommit
Mr. Speaker|| frank, ayes, appeared
Mr. President|| reconsider, resolution, place
Mr. Chairman|| amendment, program, chairman
<|endoftext|>|| grandfathered, impliedly, identified
<|endoftext|>|| plutonium, specific, remedy
Madam President|| tomorrow, aware, list
Mr. President|| food, bill, money
Mr. Speaker|| today, israel, colleagues
Mr. President|| remarks, council, consent
Madam Chair|| consumer, rise, blow
<|endoftext|>|| sacrifices, body, men
Mr. Speaker|| caucus, anti-terrorism, speaker
Madam Speaker|| purpose, resolution, good
Mr. President|| state, hebert, commissioners
<|endoftext|>|| tax, time, interrupt
Madam President|| called, homeland, fact
Mr. Speaker|| subcommittee, gentleman, worked
Mr. Chair|| committee, chair, government
Mr. President|| ninth, chief, appeals
Mr. President|| heparin, bill, pfizer
Mr. Speaker|| end, affection, committees
Mr. President|| hill, high, league
Mr. President|| president, move, reasons
Mr. Speaker|| considered, order, gentleman
Mr. Speaker|| child, speaker, scholarships
Mr. Chairman|| reclaiming, time, conclude
Mr. Speaker|| back, set, house
Mr. Speaker|| speaker, burton, amendment
Mr. Speaker|| increases, debate, gdp
Mr. President|| apply, period, section
Mr. Speaker|| court, speaker, carl
Mr. President|| number, short, senator
<|endoftext|>|| record, talked, conference
Madam President|| opportunity, resolution, continuing
<|endoftext|>|| august, moment, week
Mr. Speaker|| unanimous, consent, numbered
Mr. Speaker|| time, delegation, yield
Madam President|| city, bill, department
Mr. President|| incomes, country, local
Mr. Speaker|| violence, solutions, number
<|endoftext|>|| executive, hour, senate
Mr. President|| table, reconsider, motion
Mr. Speaker|| act, access, charged
Mr. Speaker|| businessmen, american, liberal
Mr. Chairman|| effective, made, cut
<|endoftext|>|| substantiate, formula, census
<|endoftext|>|| won, explanation, time
Mr. Speaker|| america, speaker, people
<|endoftext|>|| permanent, york, confirmed
Mr. Speaker|| president, happen, largest
Madam President|| lithuania, december, russian
<|endoftext|>|| disparity, top, huge
Mr. President|| rock, land, red
Mr. Chairman|| relief, act, faith-based
Mr. Speaker|| speaker, aliens, today
Mr. Speaker|| dallas, airlines, support
<|endoftext|>|| program, vote, debate
<|endoftext|>|| illegal, agree, potential
Mr. Speaker|| united, exploitative, yield
Mr. Chairman|| local, chairman, books
<|endoftext|>|| leader, majority, america
Mr. Cicilline|| part, rebuild, manufacturing
Madam Speaker|| national, bring, eshoo
Mr. Chairman|| americans, system, work
<|endoftext|>|| ability, impossible, agreement
<|endoftext|>|| maryland, massachusetts, dodd
Mr. Speaker|| colleagues, final, colleague
<|endoftext|>|| making, farms, alabama
Madam Speaker|| young, lies, speak
Mr. Speaker|| intent, standards, authority
Mr. President|| adding, amendment, taxes
<|endoftext|>|| people, succeed, maryville
Mr. Speaker|| provide, designee, section
<|endoftext|>|| health, post, house
Mr. Speaker|| speaker, heroes, sheriffs
Mr. President|| relations, involvement, employee
Mr. Speaker|| wanted, treasury, meeting
Mr. Chairman|| florida, garza, program
Mr. Speaker|| proceedings, vote, ground
Mr. President|| pay, state, officer
Mr. President|| framework, support, congress
Mr. Chairman|| strong, fha, today
Mr. Speaker|| prophet, ago, question
Mr. Speaker|| diversity, coaches, speaker
Mr. Speaker|| today, republican, express
Mr. President|| power, time, marketing
Mr. Chairman|| appropriations, airport, xxi
Mr. President|| time, gasoline, president
<|endoftext|>|| american, young, service
<|endoftext|>|| private, house, national
Mr. Chairman|| nation, hearings, january
<|endoftext|>|| troops, member, iraq
Madam Speaker|| tempore, resolution, days
Mr. Chairman|| revenue, senate, federal
Mr. Speaker|| greeks, anniversary, contributions
Mr. President|| abortion, congress, states
Mr. President|| room, committee, country
<|endoftext|>|| incurring, hopeful, noon
<|endoftext|>|| people, make, times
Mr. Chairman|| chairman, amendment, rule
Mr. Speaker|| speaker, communists, point
Mr. President|| energy, vitally, aware
Mr. Speaker|| federal, courthouse, speaker
Mr. President|| highly, matter, illinois
Mr. Speaker|| government, exports, american
Mr. Speaker|| joe, blow, debating
Madam Chair|| lifelong, unemployment, workforce
<|endoftext|>|| reintroduce, arizona, fortunate
Mr. Speaker|| people, ago, time
<|endoftext|>|| adopted, make, united
Mr. President|| keener, understood, votes
Mr. Chairman|| work, question, affected
Madam Speaker|| synchronize, calendar, infrastructure
Mr. Chairman|| jobs, programs, million
Mr. Speaker|| indiana, speaker, hamilton
Madam Speaker|| year, life, world
Mr. President|| salt, general, chief
Madam Speaker|| war, american, majority
Mr. President|| proceed, record, president
Mr. President|| prescription, stronger, drugs
Mr. President|| bill, subcommittee, committee
Mr. Speaker|| lawsuits, speaker, conference
Mr. Speaker|| carolina, watt, gentlewoman
Mr. Speaker|| speaker, requests, bill
Mr. President|| biden, president, mrs.
Mr. President|| district, southern, senator
Mr. Chairman|| america, gordon, united
<|endoftext|>|| cardoza, florida, sense
Madam President|| worse, talk, epa
Mr. Chairman|| preservation, amendment, legislation
Mr. President|| real, tax, percent
Mr. President|| increase, numerous, march
<|endoftext|>|| years, begun, percent
Mr. Chairman|| problem, ranking, member
Mr. President|| offered, yield, haphazard
Mr. Speaker|| january, union, iraq
<|endoftext|>|| years, lake, road
Mr. Speaker|| systems, transportation, critical
<|endoftext|>|| support, embryos, continues
Madam Speaker|| senate, march, unable
<|endoftext|>|| upcoming, reached, situation
Mr. President|| senators, school, coleman
Mr. President|| years, offering, wishes
Mr. President|| reason, bill, year
Mr. Chairman|| harm, haiti, downstairs
Mr. President|| kentucky, crisis, wrote
Mr. Speaker|| aware, monday, ago
<|endoftext|>|| badgered, promulgated, hear
Mr. Speaker|| america, nation, meals
Mr. Speaker|| suspension, week, reclaiming
Mr. Chairman|| california, interrogation, terrible
Mr. President|| bingaman, energy, tax
<|endoftext|>|| desk, printed, read
Mr. President|| equally, provided, amendments
<|endoftext|>|| legislative, separate, states
Mr. Speaker|| national, happy, rise
Madam Speaker|| half, tempore, gentlewoman
Mr. Speaker|| constitutional, branch, invasion
<|endoftext|>|| worked, taxes, make
Mr. Speaker|| vehicles, body, crooked
Mr. Speaker|| minnesota, additional, local
Mr. President|| glickman, strong, afternoon
Mr. Speaker|| airport, radar, control
Madam Chairman|| yield, slaughter, committee
Mr. President|| promise, colleagues, social
Mr. President|| war, beginning, britain
Mr. Speaker|| friends, church, pray
Mr. Speaker|| resolution, rise, joint
Mr. President|| protection, period, remarks
Mr. Chairman|| important, rise, money
Madam Speaker|| gentleman, holder, yield
Mr. Speaker|| systems, states, committee
Mr. Speaker|| clear, voters, budgets
Madam Speaker|| system, act, support
<|endoftext|>|| assurance, play, alternative
Mr. Speaker|| unrelated, rule, speaker
<|endoftext|>|| alito, high, constitution
Mr. President|| syria, citizens, express
Mr. President|| hernandez, pearson, national
Madam Speaker|| department, lake, mitch
Mr. Speaker|| hours, employees, yielding
<|endoftext|>|| senator, senators, house
Mr. Speaker|| bill, considered, california
Mr. Speaker|| agriculture, drug, agencies
<|endoftext|>|| read, reconsider, laid
Mr. President|| large, numbers, moynihan
<|endoftext|>|| balancing, lifetime, heard
<|endoftext|>|| agoa, program, preference
Mr. Speaker|| infrastructure, tax, home
Mr. Speaker|| congress, making, progress
Mr. Speaker|| ranking, senate, infrastructure
Madam Speaker|| cars, lot, gallon
<|endoftext|>|| people, state, senators
Mr. Chairman|| labor, infant, departments
Mr. Chairman|| amount, practicing, economy
Mr. Chairman|| ton, monster, freedom
<|endoftext|>|| loans, question, extraordinary
Mr. Chairman|| rise, procedure, strong
<|endoftext|>|| health, created, terminate
<|endoftext|>|| committee, time, gentleman
Mr. Chairman|| yield, people, committee
Mr. President|| byrd, reid, majority
Madam Speaker|| committee, victory, attacks
Madam Speaker|| fill, speaker, americans
<|endoftext|>|| start, energy, days
<|endoftext|>|| disbursement, pursuing, senator
Mr. President|| country, work, president
<|endoftext|>|| economic, flake, frank
Mr. Speaker|| perlmutter, speaker, online
Mr. Speaker|| bill, speaker, country
Mr. President|| constitutional, oregon, separate
<|endoftext|>|| legislation, arkansas, democrats
Mr. Chairman|| administrations, discussion, employers
Mr. Chairman|| balance, simply, kill
Mr. Chairman|| committee, craft, proud
<|endoftext|>|| write, economic, written
Madam Chair|| monopoly, republicans, part
Mr. Chairman|| violation, manifestation, house
<|endoftext|>|| issue, provisions, tort
<|endoftext|>|| case, leading, friends
<|endoftext|>|| trust, funding, construction
Mr. President|| senate, nixon, war
Mr. Speaker|| speaker, pajaro, heidi
Mr. Speaker|| shore, small, jeff
<|endoftext|>|| legitimate, change, issue
Mr. President|| full, national, administration
<|endoftext|>|| thousand, spend, handbook
Mr. Chairman|| partisan, oil, wildlife
Mr. President|| unanimous, session, strategy
<|endoftext|>|| fees, panel, senator
Mr. Chairman|| chair, recorded, missouri
Mr. President|| federal, administrative, appointment
Mr. Speaker|| congress, work, president
Mr. Speaker|| defense, rule, republican
Mr. President|| issue, efforts, advisory
<|endoftext|>|| week, worked, committee
<|endoftext|>|| retired, accepted, zinni
Mr. Chairman|| tempore, hope, chairman
Madam Speaker|| gsa, brought, bill
Madam Speaker|| extend, members, gentleman
Mr. Chairman|| burden, reg, put
Mr. Chairman|| republicans, bill, reconciliation
Mr. President|| unanimous, pipeline, entitled
<|endoftext|>|| people, hour, care
<|endoftext|>|| consistent, acadian, budget
Mr. Speaker|| morella, distinguished, gentlewoman
Mr. Chairman|| section, house, creation
<|endoftext|>|| fundamental, err, discussed
Mr. President|| research, president, states
<|endoftext|>|| act, health, time
Mr. Chairman|| great, rise, violence
Mr. Speaker|| family, christmastime, palm
Madam Speaker|| back, madam, lakers
<|endoftext|>|| fact, documents, belong
Mr. President|| hearing, committee, xxvi
Mr. Speaker|| today, athletic, mountain
<|endoftext|>|| american, speaker, chief
Mr. President|| commerce, secretary, senator
<|endoftext|>|| clinton, baer, activity
<|endoftext|>|| points, important, justice
Mr. President|| sections, congressional, waive
Mr. Speaker|| sumner, women, day
Mr. President|| governors, states, system
Madam President|| house, letter, president
Mr. Chairman|| support, department, issue
Mr. Speaker|| exemplary, rise, high
Madam Chairman|| word, bill, madam
Mr. Speaker|| close, gentleman, time
<|endoftext|>|| alaska, hunters, good
Mr. President|| bill, members, alternative
<|endoftext|>|| advised, authority, direction
<|endoftext|>|| mitchell, consumers, senator
Mr. Speaker|| paul, university, senate
Mr. President|| civilian, permanent, federal
Mr. President|| consent, objection, permitted
Madam Speaker|| congress, full, act
Mr. President|| daily, president, day
<|endoftext|>|| member, roads, nepa
<|endoftext|>|| qualified, blueprints, pick
Mr. Speaker|| tomorrow, motion, minutes
<|endoftext|>|| clear, speaker, rural
Mr. Chairman|| good, doctor, amendment
<|endoftext|>|| common, taxes, gas
Mr. Chairman|| reform, corpus, habeas
Mr. Chairman|| friend, reduced, frankly
Mr. President|| period, short, consent
Mr. President|| grenier, act, national
Mr. President|| talking, price, drugs
Mr. Chairman|| million, retirement, yielding
Mr. Chairman|| natural, industry, china
<|endoftext|>|| farm, south, center
<|endoftext|>|| chairman, fiscal, concern
Mr. Speaker|| communities, mayors, speaker
Mr. Speaker|| investigation, provisional, inspector
Madam President|| back, week, butte
Mr. Speaker|| united, crimes, holocaust
Mr. Speaker|| states, representatives, official
Mr. Chairman|| legislation, unfunded, governments
Madam Speaker|| rise, diabetes, published
<|endoftext|>|| program, thought, question
Madam President|| percent, benefit, unfair
Mr. Speaker|| made, responsibility, iranian
Mr. President|| committees, authorized, conduct
Mr. President|| res, consideration, proceed
Mr. Speaker|| work, completed, access
<|endoftext|>|| reforms, house, committee
Mr. Speaker|| iraq, vietnamese, american
<|endoftext|>|| long, senate, cost
<|endoftext|>|| state, funding, colleagues
Mr. Speaker|| congress, countries, program
Mr. Chairman|| ended, california, roll
<|endoftext|>|| couple, friday, tonight
Mr. President|| ill, procedure, measures
<|endoftext|>|| health, make, plan
Mr. President|| public, narfe, today
Mr. Speaker|| agriculture, speaker, rollcall
Mr. President|| natural, trading, senate
<|endoftext|>|| contract, guard, extends
Mr. Speaker|| act, care, madam
Mr. Speaker|| msa, freedom, medical
Mr. President|| als, embryonic, human
<|endoftext|>|| fine, amendment, tomorrow
Mr. Speaker|| face, committee, lewis
Mr. President|| raised, april, bolton
Mr. Chairman|| pennsylvania, support, words
Mr. Speaker|| team, speaker, bock
Mr. President|| sandy, administration, american
Mr. President|| legislation, act, public
<|endoftext|>|| body, prove, back
<|endoftext|>|| hope, multiple, legislation
Mr. Speaker|| floor, hour, house
Mr. Speaker|| pleased, yield, members
Mr. Chairman|| health, coalition, fiscal
<|endoftext|>|| labor, buying, capitalism
Mr. President|| energy, pasternack, management
Madam President|| american, public, bill
Mr. President|| san, isaac, police
Mr. President|| day, young, women
Madam Speaker|| west, united, turks
Mr. Speaker|| order, house, ruling
Mr. President|| president, budget, accepted
Mr. President|| marks, state, president
<|endoftext|>|| states, broadly, united
Mr. Speaker|| cypriot, cypriots, speaker
<|endoftext|>|| question, experience, businessman
Mr. Chairman|| washington, chairman, united
Mr. Chairman|| individual, wetlands, federal
Mr. Chairman|| proposed, million, gentleman
Mr. President|| president, lou, deal
Mr. Speaker|| motion, minutes, adjourned
Mr. Chairman|| spending, penalize, people
Madam President|| prevail, ohio, senator
Madam Speaker|| speaker, passage, aye
Mr. Speaker|| house, consent, checks
<|endoftext|>|| house, offered, pro
Mr. Chairman|| question, yield, time
Mr. President|| senate, complete, president
Mr. Chairman|| project, legislation, base
Mr. Speaker|| bois, speaker, experiences
<|endoftext|>|| democrats, future, felt
Madam Speaker|| impact, months, security
Mr. President|| minutes, leader, unanimous
Mr. Speaker|| federal, speaker, california
Mr. President|| foundation, people, insert
Mr. President|| substitute, offer, added
Madam Speaker|| nixon, essential, feel
Mr. President|| remains, iraq, age
Mr. President|| presiding, minutes, president
Mr. President|| country, care, give
Mr. President|| case, kentucky, kind
Mr. President|| motion, considered, relating
Mr. Speaker|| george, history, national
Mr. Chairman|| gentleman, project, funding
<|endoftext|>|| bill, colleagues, creates
Mr. President|| poll, guns, person
Mr. President|| important, year, business
Mr. Chairman|| relatives, chairman, chain
Mr. Speaker|| gridlock, washington, federal
Mr. Speaker|| service, proficiency, public
Mr. Speaker|| responders, special, maloney
Mr. Speaker|| request, objection, samoa
Mr. President|| colleague, money, medicare
Mr. Speaker|| medicare, cross, yeltsin
Mr. President|| amendment, loans, department
Mr. Speaker|| represent, subcommittee, distance
<|endoftext|>|| fein, times, connecticut
Mr. President|| foreign, hearing, nato
<|endoftext|>|| alaska, lee, tennessee
<|endoftext|>|| year, award, speaker
<|endoftext|>|| balanced, states, start
<|endoftext|>|| add, gentleman, floor
Mr. Chairman|| interest, colorado, law
Mr. Speaker|| b'nai, school, joel
<|endoftext|>|| pregnant, offered, insurance
Madam Speaker|| service, madam, memorial
Madam Speaker|| adopted, care, american
Mr. Speaker|| year, jersey, practices
Mr. Speaker|| amendments, rule, committee
Mr. Chairman|| back, simply, people
Mr. Chairman|| telecommunications, country, bill
Mr. President|| states, program, student
Mr. President|| david, taylor, members
Mr. President|| nation, yearly, freedom
